unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1.5965E+12,4/8/2020 0:00,ETH/USDT,385.91,402.98,380.77,389.61,1180792.424,461794422.2,503335
1.59641E+12,3/8/2020 0:00,ETH/USDT,372.45,398,366.5,385.94,1191565.094,462170587.5,534803
1.59633E+12,2/8/2020 0:00,ETH/USDT,387.01,415.85,325,372.42,2324909.096,878397036.3,960835
1.59624E+12,1/8/2020 0:00,ETH/USDT,346.32,392.67,343.07,387,1440843.342,527543444.9,598900
1.59615E+12,31/7/2020 0:00,ETH/USDT,334.82,349.45,328.4,346.33,948088.4498,323282981,461788
1.59607E+12,30/7/2020 0:00,ETH/USDT,317.76,342,314.05,334.87,1008827.567,328286452.5,410721
1.59598E+12,29/7/2020 0:00,ETH/USDT,316.77,325,312.38,317.71,792802.3215,254201662.1,347597
1.59589E+12,28/7/2020 0:00,ETH/USDT,321.95,326.8,305.86,316.77,1093231.556,346187853.3,458451
1.59581E+12,27/7/2020 0:00,ETH/USDT,311.02,333.31,310.78,321.93,1636122.347,527292799.3,645395
1.59572E+12,26/7/2020 0:00,ETH/USDT,305.31,318.75,299,311,1270368.753,392346895.3,486058
1.59564E+12,25/7/2020 0:00,ETH/USDT,279.15,308.94,279.09,305.26,1058927.306,308799629.4,424683
1.59555E+12,24/7/2020 0:00,ETH/USDT,275.31,287.34,266,279.15,926033.0669,256347245.5,362608
1.59546E+12,23/7/2020 0:00,ETH/USDT,263.75,279.98,259.7,275.3,1068774.579,287217202.7,378573
1.59538E+12,22/7/2020 0:00,ETH/USDT,245.53,269.61,241.51,263.74,718417.683,180692677.2,273546
1.59529E+12,21/7/2020 0:00,ETH/USDT,236,246.66,235.57,245.59,637462.0807,154502240.9,240019
